id,name,year,chart_rank,de_rank,type,,,,,,,,,
Drei_Uhr_nachts_21,Drei Uhr nachts,2021,40,9,1,,,,,,,,,
Frag_mich_nicht,Frag mich nicht,2021,41,10,1,,,,,,,,,
Miksu,Miksu,,,,2,,,,,,,,,
WMG,Warner Music Germany,,,,2,,,,,,,,,
mero,Mero,,,,2,,,,,,,,,
OA,Oliver Avalon,,,,2,,,,,,,,,
Eddy ,Eddy,,,,2,,,,,,,,,
TH,Tom Hengelbrock,,,,2,,,,,,,,,
Frio,Frio,,,,2,,,,,,,,,
Kyree,Kyree,,,,2,,,,,,,,,
Montez,Luca Montesinos,,,,2,,,,,,,,,
Aside,Aside,,,,2,,,,,,,,,
NC,Nina Chuba,,,,2,,,,,,,,,
UDV,Universal Domestic Vertigo,,,,2,,,,,,,,,
WB,Wanja Bierbaum,,,,2,,,,,,,,,
JF,Justin Fröhlich,,,,2,,,,,,,,,
MB,Michael Burek,,,,2,,,,,,,,,
WB,Wildbwoys,,,,2,,,,,,,,,
Kasimir,KASIMIR1441,,,,2,,,,,,,,,
BMJ,Badmomzjay,,,,2,,,,,,,,,
YJ,Yannick Johannknecht,,,,2,,,,,,,,,
MG,Massimo Gabutti,,,,2,,,,,,,,,
JM,Jive Music,,,,2,,,,,,,,,
Maury,Maury,,,,2,,,,,,,,,
TR,The Royals,,,,2,,,,,,,,,
PF,Peter Fox,,,,2,,,,,,,,,
RC,RAF Camora,,,,2,,,,,,,,,
Inéz,Inéz,,,,2,,,,,,,,,
BMC,Bonez MC,,,,2,,,,,,,,,
TW,Tim Wilke,,,,2,,,,,,,,,
VG,Vincent Graf,,,,2,,,,,,,,,
DK,David Kraft,,,,2,,,,,,,,,
JJ,Jeffrey Jey,,,,2,,,,,,,,,
SB,Schlippenbach,,,,2,,,,,,,,,
DC,David Conen,,,,2,,,,,,,,,
GR,Gianfranco Randone,,,,2,,,,,,,,,
JG,Jakob Grunert,,,,2,,,,,,,,,
TS,Torsten Schroth,,,,2,,,,,,,,,
TC,The Cratez,,,,2,,,,,,,,,
CJ,Charles Josek,,,,2,,,,,,,,,
GJ,Guy Josek,,,,2,,,,,,,,,
LJ,Louis Josek,,,,2,,,,,,,,,
Lucry,Luis Cruz,,,,2,,,,,,,,,
JA,Jennifer Allendoerfer,,,,2,,,,,,,,,
WMG,Warner Music Group ,,,,2,,,,,,,,,
Suena,Suena,,,,2,,,,,,,,,
makko,Christoph Makowski,,,,2,,,,,,,,,
Macloud,Macloud,,,,2,,,,,,,,,
Jamule,Jamule,,,,2,,,,,,,,,
BEKR,Bis es klappt records,,,,2,,,,,,,,,
Indip,Indipendenza,,,,2,,,,,,,,,
FM,Four Music,,,,2,,,,,,,,,
TS,Two Sides,,,,2,,,,,,,,,
MMC,Matthäus Mendo Campoverde,,,,2,,,,,,,,,
Barsky,Barsky,,,,2,,,,,,,,,
Deats,Deats,,,,2,,,,,,,,,
CP,Christopher Plowman,,,,2,,,,,,,,,
LIP,Life Is Pain,,,,2,,,,,,,,,
BS,Benedikt Schöller,,,,2,,,,,,,,,
JA,Joshua Allery,,,,2,,,,,,,,,
JD,Juh-Dee,,,,2,,,,,,,,,
LA,Laurin Auth,,,,2,,,,,,,,,
YM,Young Mesh,,,,2,,,,,,,,,
Futura,Futura,,,,2,,,,,,,,,
RCM,Ralf Christian Mayer,,,,2,,,,,,,,,
DN,Daniel Nitt,,,,2,,,,,,,,,
JW,Joe Walter,,,,2,,,,,,,,,
Mark_Foster,Mark Cwiertnia,,,,2,,,,,,,,,
Ski Aggu,Ski Aggu,,,,2,,,,,,,,,
Joost,Joost Klein,,,,2,,,,,,,,,
LEA,Lea-Marie Becker,,,,2,,,,,,,,,
BE,Bernd Eilert,,,,2,,,,,,,,,
PR,Pascal Reinhardt,,,,2,,,,,,,,,
Otto,Otto Walkes,,,,2,,,,,,,,,
Tantu,Tantu Beats,,,,2,,,,,,,,,
VA,Vieze Asbak,,,,2,,,,,,,,,
Nimo,Nimo,,,,2,,,,,,,,,
Sting,Sting,,,,2,,,,,,,,,
ND,Neil Dorfsman,,,,2,,,,,,,,,
Koda,Koda,,,,2,,,,,,,,,
LO,Lennard Oestmann,,,,2,,,,,,,,,
Kalli,Kalli,,,,2,,,,,,,,,
Atze,Jungeratze,,,,2,,,,,,,,,
AS,Albino Sports,,,,2,,,,,,,,,
LB,Lex Barkley,,,,2,,,,,,,,,
FML,Four Music Local,,,,2,,,,,,,,,
Dokii,Dokii,,,,2,,,,,,,,,
Aside,Aside,,,,2,,,,,,,,,
PP,Peter Plate,,,,2,,,,,,,,,
ULS,Ulf Leo Sommer,,,,2,,,,,,,,,
DF,Daniel Faust,,,,2,,,,,,,,,
LDS,Luca-Dante Spadafora,,,,2,,,,,,,,,
ND,Niklas Dee,,,,2,,,,,,,,,
Octavian,Octavian,,,,2,,,,,,,,,
LMMG,Luca Manuel Montesinos Gargallo,,,,2,,,,,,,,,
TK,the Krauts,,,,2,,,,,,,,,
